Offense,Street,Date of Occurrence,Victim Age,Victim Race,Victim Gender,lat,lon
HIT AND RUN,413 W FRANKLIN ST,2019/8/22 12:07,<Null>,<Null>,<Null>,35.910801,-79.06166
BICYCLE CRASH,828 MLK JR. BLVD,2019/8/23 20:40,27,W,M,35.926893,-79.052926
HIT AND RUN,143 W FRANKLIN ST,2019/11/7 12:00,21,W,F,35.911611,-79.058367
HIT AND RUN,123 W FRANKLIN ST,2019/10/11 11:00,27,B,F,35.911578,-79.057039
HIT AND RUN,1801 FORDHAM BLVD,2019/10/30 13:49,63,W,F,35.947766,-79.012792
HIT AND RUN,108 HENDERSON ST,2019/10/25 20:00,47,W,M,35.914803,-79.052958
HIT AND RUN,501 W FRANKLIN ST,2019/10/29 13:07,53,B,M,35.91,-79.06323
HIT AND RUN INVESTIGATION,828 NC 86 ,2019/10/11 15:55,32,W,F,35.926645,-79.053792
HIT AND RUN,N COLUMBIA ST@E FRANKLIN ST,2019/10/11 13:22,<Null>,<Null>,<Null>,35.913159,-79.055779
HIT AND RUN,110 S ELLIOTT RD,2019/12/16 16:30,34,W,M,35.933697,-79.028564
HIT AND RUN,407 W FRANKLIN ST,2019/12/11 23:10,41,B,M,35.910891,-79.060833
HIT AND RUN,E ROSEMARY ST/COTTAGE LN,2020/1/9 19:40,23,W,F,35.916653,-79.049489
HIT AND RUN,1301 E FRANKLIN ST,2020/2/15 12:20,37,W,M,35.927635,-79.035515
HIT&RUN,362 SUMMERWALK CIR,2020/2/4 17:00,43,W,F,35.89632,-79.009193
HIT AND RUN,101 WHITE OAK DR,2020/1/23 16:00,49,W,F,35.945194,-78.998337
HIT AND RUN,100 NC 86 N,2020/2/27 18:25,<Null>,U,U,35.913223,-79.055756
HIT AND RUN,1730 FORDHAM BLVD,2020/3/13 15:40,50,W,M,35.945686,-79.006119
HIT AND RUN COLLISION,1700 LEGION RD/EPHESUS CHURCH RD,2020/5/3 21:25,<Null>,U,U,35.936207,-79.020111
HIT AND RUN,234 EDISTO CT,2020/6/29 13:00,24,B,F,35.960873,-79.051689
HIT AND RUN,1201 NC 54,2020/6/1 17:30,63,W,M,35.926065,-79.143886
HIT AND RUN,106 ASHLEY FOREST RD,2020/5/13 20:36,25,W,F,35.94384,-79.056976
HIT AND RUN,300 W ROSEMARY ST,2020/6/3 17:30,51,W,M,35.91328,-79.058983
HIT AND RUN,101 VILLAGE CROSSING DR,2020/6/16 15:30,<Null>,<Null>,<Null>,35.905041,-79.008766
HIT&RUN,1800 E FRANKLIN ST,2020/7/22 12:49,46,B,F,35.935905,-79.026337
TRAFFIC CRASH,1411 RALEIGH RD,2020/9/17 8:00,<Null>,<Null>,<Null>,35.905365,-79.016304
HIT AND RUN PROPERTY DAMAGE,140 S COLUMBIA ST/W CAMERON AVE,2020/9/4 15:43,<Null>,U,U,35.910685,-79.054444
HIT AND RUN INVESTIGATION,1060 NC 54,2020/9/14 17:00,61,B,M,35.898777,-79.064239
HIT AND RUN,708 MARTIN LUTHER KING JR BLVD,2020/9/20 17:00,21,B,F,35.921665,-79.054573
HIT AND RUN,359 PINEY MOUNTAIN RD,2020/9/13 19:00,28,W,F,35.945633,-79.047478
HIT AND RUN,2000 EUBANKS RD,2020/9/30 18:10,19,W,F,35.970547,-79.071152
HIT AND RUN,110 PINEY MOUNTAIN RD,2020/11/6 17:20,54,W,F,35.939777,-79.05497
HIT AND RUN,240 GLANDON DR,2020/10/28 18:28,47,W,F,35.913689,-79.039604
HIT AND RUN,700 BLOCK MARKET ST,2020/10/26 15:05,33,W,F,35.881155,-79.066308
HIT AND RUN,3322 RALEIGH RD,2020/11/8 21:39,22,W,F,35.902442,-79.009806
TRAFFIC CRASH INVESTIGATION,ESTES DR,2021/5/17 22:33,<Null>,A,F,35.935257,-79.056076
HIT AND RUN INVESTIGATION,VILLAGE DR,2021/4/30 18:00,42,W,F,35.92063,-79.067548
FOUND PROPERTY FROM CRASH,206 W FRANKLIN ST,2021/5/23 18:30,<Null>,<Null>,<Null>,35.911777,-79.059509
HIT AND RUN,209 CONNER DR,2021/7/16 9:30,23,W,F,35.92696,-79.05294
HIT AND RUN,1105 NC 54,2021/8/29 10:34,19,W,F,35.898037,-79.067749
HIT AND RUN,200 WESTMINSTER DR,2021/9/1 0:03,<Null>,W,F,35.961182,-79.054787
HIT AND RUN,100 HENDERSON ST,2021/8/8 1:10,27,A,M,35.915253,-79.053398
HIT AND RUN,107 MARKET ST,2022/4/14 8:00,34,W,M,35.878574,-79.065735
HIT & RUN(PROPERTY DAMAGE),E FRANKLIN ST @ ROBERTSON LN,2021/10/22 11:00,<Null>,<Null>,<Null>,35.91458,-79.05206
HIT AND RUN INVESTIGATION,FORDHAM BLVD @ MANNING DR,2021/10/11 7:38,24,W,M,35.898613,-79.036179
HIT AND RUN INVESTIGATION,163 E ROSEMARY ST,2021/10/1 11:30,25,B,M,35.915253,-79.053398
HIT AND RUN,107 MARKET ST,2022/6/27 6:30,<Null>,W,F,35.878574,-79.065735
TRAFFIC COMPLAINT HIT AND RUN,225 W ROSEMARY ST,2022/7/7 15:55,<Null>,<Null>,<Null>,35.913227,-79.05867
HITTING PARKED CAR,318 W FRANKLIN ST,2021/11/11 14:10,42,B,F,35.911537,-79.060638
HIT AND RUN,500 NORTH ST,2022/4/24 22:00,21,W,F,35.918049,-79.049057
HIT AND RUN,150 E ROSEMARY ST,2021/10/31 22:57,<Null>,<Null>,<Null>,35.914665,-79.054138
HIT AND RUN INVESTIGATION,S ESTES DR/FORDHAM BLVD,2021/12/5 15:41,40,W,F,35.925114,-79.024857
HIT AND RUN CAUSING PHYSICAL INJURY,SAGE RD/FORDHAM BLVD,2022/7/1 23:40,<Null>,B,F,35.944855,-79.012672
HIT AND RUN,1810 FORDHAM BLVD,2021/11/13 11:00,48,B,F,35.944893,-79.009392
CRASH/DWI INVESTIGATION,FORDHAM BLVD @ ERWIN RD,2022/5/10 10:50,<Null>,<Null>,<Null>,35.94226,-79.01834
HIT AND RUN INVESTIGATION,120 NORTH ST,2022/4/21 19:30,19,W,F,35.915465,-79.055217
HIT AND RUN,150 E FRANKLIN ST,2022/4/8 18:40,<Null>,B,F,35.913261,-79.053467
CRASH INVESTIGATION,130 CAMELOT DR,2022/5/23 17:40,22,W,M,35.926035,-79.030139
CRASH INVESTIGATION,121 S ESTES DR,2022/7/16 2:45,<Null>,<Null>,<Null>,35.928643,-79.032053
HIT AND RUN,81 S ELLIOTT RD,2021/11/18 10:14,74,W,F,35.934693,-79.0281
CRASH INVESTIGATION,123 E FRANKLIN ST,2022/8/14 21:50,25,W,F,35.913694,-79.054926
HIT AND RUN,1350 MARTIN LUTHER KING JR BLVD,2022/1/30 19:57,26,W,M,35.952707,-79.057579
CRASH INVESTIGATION,1415 E FRANKLIN ST,2022/2/28 17:09,36,W,F,35.929016,-79.034494
CRASH INVESTIGATION,1010 E FRANKLIN ST,2022/6/24 23:35,<Null>,W,M,35.922218,-79.03841
HIT AND RUN,128 E FRANKLIN ST,2022/5/2 18:15,<Null>,W,M,35.913312,-79.054628
CRASH INVESTIGATION,100 S ESTES DR,2022/4/11 16:35,71,W,M,35.929144,-79.034155
HIT & RUN INVESTIGATION,FORDHAM BLVD @ RALEIGH RD,2021/12/24 14:59,53,W,F,35.90881,-79.02708
CRASH INVESTIGATION,1230 E FRANKLIN ST,2022/5/11 19:23,<Null>,W,F,35.92505,-79.037575
HIT AND RUN,115 HENDERSON ST,2022/1/7 2:15,57,W,M,35.914413,-79.05304
